iter,loss,distance_importance,distance_ranking
0,0.744482620935576,0.9464674484047219,0.13852813852813853
1,0.7427323886084193,0.9441338053018462,0.13852813852813853
2,0.6826191170608042,0.8639827765716928,0.13852813852813853
3,0.692450518299168,0.8770913115561778,0.13852813852813853
4,0.6532982125234673,0.8248882371885768,0.13852813852813853
5,0.6567407297607357,0.8294782601716014,0.13852813852813853
6,0.625333724287697,0.7876022528742164,0.13852813852813853
7,0.6325465880554277,0.7972194045645241,0.13852813852813853
8,0.49517204449292485,0.6429133753412158,0.05194805194805195
9,0.5037284417708944,0.6543219050451752,0.05194805194805195
10,0.5775064039918377,0.7238324924797374,0.13852813852813853
11,0.5238678963174322,0.6811745111072257,0.05194805194805195
12,0.5512988215356125,0.6888890492047705,0.13852813852813853
13,0.5916045734083447,0.7426300517017467,0.13852813852813853
14,0.4660204484560828,0.6040445806254264,0.05194805194805195
15,0.47021967279637833,0.6096435464124871,0.05194805194805195
16,0.4882266746301681,0.6336528821908735,0.05194805194805195
17,0.5592289414228617,0.6994625423877694,0.13852813852813853
18,0.47230885288021196,0.6124291198575986,0.05194805194805195
19,0.4892556321498809,0.6350248255504906,0.05194805194805195
20,0.437561055370964,0.5660987231786013,0.05194805194805195
21,0.5006173349358752,0.650173762598483,0.05194805194805195
22,0.4807738872812519,0.6237158323923185,0.05194805194805195
23,0.47930535293154675,0.6217577865927116,0.05194805194805195
24,0.5015108054380142,0.6513650566013349,0.05194805194805195
25,0.4808241394748623,0.6237828353171324,0.05194805194805195
26,0.4441859600274068,0.5749319293871917,0.05194805194805195
27,0.4690902838273239,0.6081376944537479,0.05194805194805195
28,0.41181180728901745,0.5490824097186899,0.0
29,0.4455341831719015,0.576729560246518,0.05194805194805195
30,0.4091622222452941,0.5282336123443748,0.05194805194805195
31,0.39163014299716264,0.5221735239962169,0.0
32,0.4188966078504964,0.5585288104673286,0.0
33,0.43132286250021795,0.5750971500002906,0.0
34,0.4185806637777404,0.5407915343876365,0.05194805194805195
35,0.3373669813184616,0.4498226417579488,0.0
36,0.35909642989800095,0.4787952398640013,0.0
37,0.49100229735497636,0.6373537124906178,0.05194805194805195
38,0.37633008273509205,0.5017734436467894,0.0
39,0.36600455057293235,0.4880060674305765,0.0
40,0.440291228210039,0.5697389536307014,0.05194805194805195
41,0.3921099350933417,0.5054972294751049,0.05194805194805195
42,0.33939685255677277,0.45252913674236367,0.0
43,0.4272550057848843,0.5523573237304951,0.05194805194805195
44,0.4165152503871305,0.5380376498668233,0.05194805194805195
45,0.39340846802782037,0.5072286067210765,0.05194805194805195
46,0.3841844006302081,0.4949298501909268,0.05194805194805195
47,0.3658512743814148,0.4878016991752197,0.0
48,0.3042146420216877,0.40561952269558355,0.0
49,0.3551431838376638,0.47352424511688507,0.0
50,0.4459036195474103,0.5772221420805298,0.05194805194805195
51,0.4124990076897581,0.5326826596036601,0.05194805194805195
52,0.3883032163090322,0.5177376217453763,0.0
53,0.3503134578837483,0.4670846105116644,0.0
54,0.3372966222291617,0.4497288296388822,0.0
55,0.38501089784384046,0.5133478637917873,0.0
56,0.3506355478108822,0.46751406374784293,0.0
57,0.37522637211368026,0.500301829484907,0.0
58,0.34111629932113957,0.4548217324281861,0.0
59,0.3686702238565853,0.4915602984754471,0.0
60,0.309022996817235,0.41203066242298,0.0
61,0.340137795154614,0.453517060206152,0.0
62,0.36247128783300625,0.48329505044400833,0.0
63,0.3889626732756543,0.5013008803848551,0.05194805194805195
64,0.3516093029387095,0.4688124039182794,0.0
65,0.32959470035822974,0.43945960047763966,0.0
66,0.28913517743030925,0.385513569907079,0.0
67,0.30829663127878726,0.41106217503838305,0.0
68,0.3194533765600024,0.4259378354133365,0.0
69,0.34972639352804463,0.4663018580373928,0.0
70,0.3652761849749451,0.48703491329992676,0.0
71,0.38844184815795474,0.500606446894589,0.05194805194805195
72,0.2754131802981055,0.3672175737308074,0.0
73,0.27396613688405197,0.3652881825120693,0.0
74,0.36134304796990846,0.48179073062654465,0.0
75,0.3025782390069399,0.4034376520092532,0.0
76,0.35848346295008543,0.4779779506001139,0.0
77,0.3766729995270075,0.50223066603601,0.0
78,0.31364645308418054,0.4181952707789074,0.0
79,0.2994747752534393,0.39929970033791906,0.0
80,0.31754697463486337,0.42339596617981784,0.0
81,0.29556864412681927,0.3940915255024257,0.0
82,0.27432152649345565,0.36576203532460755,0.0
83,0.34261947949391275,0.45682597265855035,0.0
84,0.3443975056108837,0.459196674147845,0.0
85,0.33800637186813165,0.4506751624908422,0.0
86,0.3260315641377851,0.43470875218371346,0.0
87,0.3639856817244549,0.46799822498325583,0.05194805194805195
88,0.3127694220341002,0.4170258960454669,0.0
89,0.3170627883776841,0.4227503845035788,0.0
90,0.2864606539647814,0.38194753861970854,0.0
91,0.35088950118166756,0.46785266824222344,0.0
92,0.37808026768180125,0.504107023575735,0.0
93,0.26986183920202345,0.3598157856026979,0.0
94,0.26033451196373264,0.3471126826183102,0.0
95,0.3502277008271632,0.4669702677695509,0.0
96,0.3014960393655448,0.4019947191540597,0.0
97,0.2684250606082696,0.35790008081102614,0.0
98,0.36900488416999816,0.4746904949106469,0.05194805194805195
99,0.35385766289818443,0.4718102171975792,0.0
100,0.346907809414456,0.46254374588594127,0.0
101,0.2857834824395622,0.3810446432527496,0.0
102,0.34165714530913954,0.4382268430961687,0.05194805194805195
103,0.2947486319525112,0.3929981759366816,0.0
